airlie_id,flght#,departure_dt,arrival_dt,dep_time,arrivl_time,booking_cd,passngr_nm,seat_no,class,fare,extras,loyalty_pts,status,gate,terminal,baggage_claim,duration_hrs,layovers,layover_locations,aircraft_type,pilot,cabin_crew,inflight_ent,meal_option,wifi,window_seat,aisle_seat,emergency_exit_row,number_of_stops,reward_program_member
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,BYAU,Name_MANII,SeatAOM,First,512.05,No Extras,0,Cancelled,GateUZ,A,ClaimZQN,4.17,2,LOCXAY,TypePPK,Pilot_IFGC,Crew_ZTNM,No,No Meal,Not Available,False,False,True,0,No
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,BGJC,Name_DUYZB,SeatAOR,Economy,904.61,Meal,2303,Pending,GateYD,B,ClaimBGD,10.88,1,LOCFQE,TypeVKK,Pilot_CMCG,Crew_IACU,Yes,Vegan,Not Available,True,False,False,0,Yes
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,BRCG,Name_PETRB,SeatVFV,Business,868.56,Meal,0,Confirmed,GateQI,B,ClaimKEB,4.32,1,LOCFGU,TypeYHI,Pilot_MUAC,Crew_QYCQ,Yes,Vegetarian,Available,False,True,False,1,Yes
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,BOAX,Name_NOYJP,SeatFOF,Economy,672.46,Meal,0,Pending,GateTO,A,ClaimQCC,4.38,2,LOCXPO,TypeVCK,Pilot_JVCD,Crew_FSCS,No,No Meal,Not Available,True,True,False,1,Yes
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,BSEZ,Name_HZZXX,SeatXVY,First,668.34,No Extras,0,Pending,GateGI,A,ClaimYSE,8.38,0,LOCITG,TypeHVZ,Pilot_GLYB,Crew_XKNC,No,Non-Vegetarian,Available,True,False,True,0,No
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,BUVG,Name_UNTJM,SeatNUN,First,622.34,Extra Baggage,681,Pending,GateMI,D,ClaimGOV,2.85,2,LOCLWB,TypeTFN,Pilot_ZEBD,Crew_DMDF,No,Vegetarian,Available,True,False,False,0,No
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,BKAV,Name_SBZEN,SeatTQK,First,267.69,Extra Baggage,0,Pending,GateEL,A,ClaimLMN,7.64,1,LOCIFM,TypeOOS,Pilot_OVSG,Crew_OYGQ,No,Vegan,Available,False,False,True,1,Yes
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,BBNJ,Name_XUWUZ,SeatRKT,Economy,634.86,Meal,0,Confirmed,GateZI,B,ClaimCZK,7.91,0,LOCCRQ,TypeGMY,Pilot_FFFC,Crew_RLXJ,Yes,No Meal,Not Available,True,False,False,1,Yes
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,BCNE,Name_YXHAE,SeatITH,Economy,620.32,Extra Baggage,870,Pending,GateOK,A,ClaimMTS,9.03,1,LOCYCF,TypeCAQ,Pilot_EYYM,Crew_GNTC,No,Non-Vegetarian,Not Available,False,False,True,0,No
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,BQGA,Name_YKHQY,SeatRQY,Business,590.39,No Extras,0,Cancelled,GatePE,B,ClaimNDN,9.29,2,LOCIZQ,TypeLSJ,Pilot_YZEJ,Crew_GKSL,No,Vegan,Available,True,True,True,2,No
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,BXKF,Name_JNAEO,SeatZLV,Economy,814.97,Meal,163,Confirmed,GateCX,D,ClaimIRB,9.54,1,LOCVKG,TypeYYD,Pilot_HXQN,Crew_LVMR,No,Vegan,Available,True,True,False,2,Yes
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,BPNQ,Name_JOAXK,SeatZES,Economy,93.18,No Extras,3523,Cancelled,GateAM,D,ClaimJIT,10.82,0,LOCKZX,TypeGDB,Pilot_ANOM,Crew_GGES,Yes,Vegan,Not Available,True,True,True,1,Yes
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,BONG,Name_RFBBQ,SeatOYR,First,484.26,Meal,0,Pending,GateGI,C,ClaimMAU,1.08,1,LOCNOJ,TypeWPY,Pilot_PHSH,Crew_OXHC,Yes,Vegan,Not Available,True,True,False,1,No
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,BJSG,Name_VETNL,SeatZXD,First,100.9,Meal,154,Cancelled,GateAB,A,ClaimHPX,8.54,2,LOCNQH,TypeQPH,Pilot_GELJ,Crew_KPGG,No,Vegan,Not Available,True,False,False,2,Yes
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,BOXZ,Name_DIRJG,SeatNNM,Economy,806.0,Meal,0,Cancelled,GateEG,B,ClaimUQV,7.6,2,LOCOPW,TypeLUH,Pilot_HFLU,Crew_RBLB,Yes,No Meal,Not Available,True,True,True,1,Yes
1,7175,2023-01-18 04:42:17,2023-10-30 02:08:55,05:55:40,04:32:31,BNOS,Name_EOZMN,SeatWHM,First,271.37,No Extras,0,Cancelled,GateTX,D,ClaimYCE,1.41,1,LOCDIT,TypeHUO,Pilot_VBFQ,Crew_MUJQ,Yes,Vegetarian,Not Available,False,False,True,1,Yes
6,6943,2023-02-17 23:14:18,2023-12-24 03:55:48,09:39:02,09:33:08,BUZP,Name_YDFOM,SeatAZQ,Economy,397.31,Extra Baggage,4066,Cancelled,GateDJ,B,ClaimNDD,6.16,2,LOCSOU,TypeRXY,Pilot_NCHV,Crew_GAUY,Yes,Non-Vegetarian,Available,False,False,False,2,No
16,9026,2023-04-04 04:46:56,2023-08-20 20:23:57,20:46:21,04:09:28,BBBA,Name_MRQAD,SeatIIZ,Economy,361.56,No Extras,0,Pending,GateHU,A,ClaimSAS,11.6,1,LOCJLQ,TypeYHU,Pilot_MPUM,Crew_YVBS,Yes,No Meal,Available,True,True,True,2,No
12,8446,2023-12-26 12:37:02,2023-11-17 12:49:37,18:54:30,20:37:39,BPSD,Name_KYSMP,SeatQUK,Economy,940.22,No Extras,0,Confirmed,GateNX,B,ClaimEXU,6.08,2,LOCANZ,TypeADI,Pilot_MRAV,Crew_HNWR,Yes,Vegan,Available,False,False,True,2,No
11,2308,2023-04-27 06:02:19,2023-04-23 17:19:42,15:45:25,11:16:36,BCKX,Name_SOLWH,SeatNPD,Economy,372.06,Extra Baggage,0,Confirmed,GateED,C,ClaimWJA,5.29,0,LOCNVO,TypeWEL,Pilot_SBGH,Crew_XNVL,No,Vegetarian,Not Available,True,True,False,2,No
10,9339,2023-07-01 14:28:53,2023-08-22 00:10:58,13:03:38,23:00:08,BQEW,Name_VAVHE,SeatNJM,Economy,99.17,Extra Baggage,0,Pending,GateUY,B,ClaimYRJ,3.44,0,LOCLMV,TypeTCI,Pilot_JTIX,Crew_IDGJ,Yes,Non-Vegetarian,Not Available,True,False,True,1,Yes
3,5016,2023-04-18 21:56:57,2023-09-15 03:23:36,09:59:45,16:27:37,BIAY,Name_XALDO,SeatKDB,Economy,85.7,Extra Baggage,1568,Cancelled,GateOL,A,ClaimJNK,10.92,2,LOCDCI,TypeWXA,Pilot_IDMC,Crew_SINV,Yes,Non-Vegetarian,Available,True,True,False,1,Yes
13,4940,2023-08-09 15:08:39,2023-12-30 20:07:58,23:24:15,13:45:44,BIDP,Name_IJUMJ,SeatEPB,First,255.52,Extra Baggage,1419,Pending,GateXB,B,ClaimSRM,1.38,1,LOCFFK,TypeKGR,Pilot_FSZI,Crew_QSFC,No,Non-Vegetarian,Not Available,True,True,False,1,Yes
3,7713,2023-07-01 03:21:08,2023-01-01 20:03:27,14:57:08,11:49:41,BOJE,Name_JNSSY,SeatCHY,Business,135.1,Extra Baggage,0,Confirmed,GateWV,A,ClaimTJY,8.82,2,LOCRAJ,TypeQXS,Pilot_NPWM,Crew_DINU,Yes,Vegan,Available,False,False,True,2,No
15,5071,2023-11-26 04:14:47,2023-01-31 14:35:24,16:45:41,10:03:45,BPFP,Name_AVVZX,SeatYWD,Business,804.19,Extra Baggage,0,Cancelled,GateVI,B,ClaimHBK,3.74,1,LOCCYV,TypeSAE,Pilot_VQAP,Crew_CNBU,Yes,No Meal,Not Available,False,False,False,0,No
16,9107,2023-06-12 21:16:54,2023-07-12 10:08:26,15:25:47,00:39:23,BDVU,Name_HQWJA,SeatYQR,First,690.75,Extra Baggage,0,Pending,GateIQ,A,ClaimKAM,9.27,2,LOCTTN,TypeJKC,Pilot_NLSM,Crew_ZHDD,No,Non-Vegetarian,Available,True,True,False,2,Yes
13,6912,2023-07-01 13:02:30,2023-12-28 11:06:36,12:46:22,07:37:16,BOCS,Name_HEBSY,SeatZNE,Business,786.92,Meal,0,Confirmed,GatePR,D,ClaimQRW,10.05,0,LOCFIA,TypeGCN,Pilot_EJSK,Crew_GELR,No,No Meal,Available,True,False,True,0,Yes
17,1442,2023-06-26 11:57:42,2023-07-05 13:48:09,23:21:17,09:11:25,BIEP,Name_BTWXK,SeatUEX,Business,555.84,Meal,0,Pending,GateSX,C,ClaimLRL,7.43,1,LOCTRU,TypeFJJ,Pilot_VWJO,Crew_ASMV,Yes,No Meal,Available,True,True,True,2,No
3,3944,2023-08-05 22:27:36,2023-02-24 19:20:06,22:08:32,06:22:01,BCHX,Name_CZZIH,SeatJBZ,Economy,499.88,Meal,0,Confirmed,GateBA,D,ClaimMUS,1.11,0,LOCTWC,TypePKN,Pilot_QVLY,Crew_FWUL,Yes,Vegan,Available,True,True,False,1,No
11,4936,2023-02-21 14:03:01,2023-04-29 22:35:08,05:17:55,21:43:22,BNCP,Name_FNHOZ,SeatIPU,First,393.88,No Extras,0,Pending,GateUX,A,ClaimMCL,5.68,1,LOCDSP,TypeNTX,Pilot_DQMD,Crew_VYIJ,Yes,No Meal,Available,False,False,False,2,No
19,1398,2023-11-28 07:17:46,2023-12-05 10:12:00,05:28:46,02:28:16,BGIC,Name_XCWHV,SeatGYU,Business,822.8,No Extras,0,Pending,GateLY,D,ClaimCNP,4.28,0,LOCDPO,TypeAUJ,Pilot_TZDM,Crew_VJZF,No,Vegan,Not Available,False,False,False,2,Yes
11,3995,2023-08-01 17:14:16,2023-01-12 04:13:38,00:25:55,03:49:45,BHLQ,Name_PFGMT,SeatDYH,First,51.68,No Extras,0,Confirmed,GateYB,D,ClaimYVG,8.29,2,LOCQUG,TypeFHD,Pilot_GLCT,Crew_KFQT,No,Vegetarian,Available,True,True,False,2,Yes
16,7329,2023-12-17 23:52:14,2023-05-08 14:34:32,04:37:39,16:13:05,BNPS,Name_ZZISG,SeatCDY,Economy,539.74,No Extras,0,Cancelled,GateNS,D,ClaimKSH,10.52,1,LOCYEQ,TypeFCM,Pilot_YGOJ,Crew_ZYCG,No,Non-Vegetarian,Available,True,False,True,0,No
3,3216,2023-10-10 09:15:17,2023-06-20 10:58:46,08:36:06,23:56:04,BDCM,Name_PYXGO,SeatQPW,Business,405.04,No Extras,4757,Pending,GateCB,D,ClaimONU,11.02,2,LOCKWH,TypeDCL,Pilot_DYKZ,Crew_KVWV,No,Vegan,Available,False,True,True,1,No
6,2707,2023-06-08 12:24:15,2023-10-20 13:02:54,07:12:03,14:56:45,BIML,Name_EBBTE,SeatOZO,Business,196.39,Meal,0,Pending,GateBK,D,ClaimNZH,3.64,2,LOCBJM,TypeKYN,Pilot_WKWH,Crew_PVJW,No,Vegan,Not Available,True,True,False,1,No
14,6766,2023-07-05 21:56:54,2023-10-13 04:52:59,19:03:45,11:00:53,BZUO,Name_LDRTK,SeatSZW,Business,726.21,Meal,4586,Pending,GateZB,A,ClaimZWU,5.84,1,LOCKUT,TypeTXB,Pilot_PFYD,Crew_OHRP,No,Non-Vegetarian,Available,True,True,False,2,Yes
18,6677,2023-10-01 21:11:42,2023-04-28 06:40:44,22:17:59,12:04:29,BCCB,Name_UTFMZ,SeatYJK,Economy,304.76,Extra Baggage,650,Cancelled,GateQL,A,ClaimWVK,10.68,2,LOCXIS,TypeIGG,Pilot_ZOLN,Crew_LTNT,No,Non-Vegetarian,Not Available,True,False,True,1,Yes
17,3568,2023-05-03 10:24:54,2023-03-31 18:55:24,20:18:34,08:51:43,BZFY,Name_WEYDJ,SeatMLA,First,446.81,Meal,4560,Pending,GateYL,A,ClaimHKE,6.18,0,LOCUTX,TypeJNZ,Pilot_NUHJ,Crew_QYOB,No,No Meal,Not Available,True,True,False,2,No
4,8638,2023-09-29 05:21:05,2023-08-13 20:09:16,07:46:07,19:19:02,BPWR,Name_BZHTT,SeatDSV,Business,325.33,No Extras,0,Confirmed,GateQU,D,ClaimOQN,2.56,2,LOCFGB,TypeTLC,Pilot_PWFY,Crew_ETPW,No,Non-Vegetarian,Not Available,True,False,False,0,No
15,1160,2023-05-07 09:43:24,2023-10-27 22:36:29,06:26:25,21:32:18,BICW,Name_CITBQ,SeatDEM,Business,629.09,No Extras,492,Pending,GateAH,A,ClaimZOI,6.25,0,LOCDBF,TypeVGU,Pilot_DXSW,Crew_ISXC,Yes,No Meal,Available,True,True,False,1,Yes
11,9067,2023-07-23 04:14:51,2023-06-26 15:06:22,11:14:52,13:14:30,BZWP,Name_AXQEM,SeatUSP,Business,60.31,No Extras,0,Confirmed,GateGG,D,ClaimNYJ,7.73,0,LOCBQC,TypeYUH,Pilot_DWMB,Crew_MLVH,No,Vegan,Not Available,False,True,True,0,No
3,4904,2023-04-27 09:38:15,2023-05-22 00:22:54,11:57:07,14:14:39,BDND,Name_HGWNH,SeatWVY,First,672.92,No Extras,0,Cancelled,GateJE,A,ClaimOPL,10.35,1,LOCDVA,TypeOSJ,Pilot_VHYL,Crew_QBUQ,No,Non-Vegetarian,Available,False,False,False,2,Yes
3,4573,2023-12-14 01:53:47,2023-06-08 00:02:09,09:36:34,03:52:30,BRRR,Name_KCERE,SeatUCU,Economy,442.49,Meal,0,Pending,GateTN,D,ClaimIPV,3.38,2,LOCRAX,TypeHTI,Pilot_PMHD,Crew_AYFE,Yes,No Meal,Available,False,True,True,1,Yes
16,2825,2023-08-03 22:37:30,2023-11-01 02:31:33,04:55:54,08:16:03,BUCZ,Name_MEBZM,SeatKLJ,Business,728.53,Meal,0,Cancelled,GateGS,D,ClaimZFK,11.51,1,LOCOUD,TypeUED,Pilot_HFJQ,Crew_KWDS,No,Vegetarian,Not Available,False,True,False,1,No
5,6582,2023-09-22 00:23:33,2023-08-10 22:17:44,12:21:47,14:25:01,BGMG,Name_FQHQS,SeatYPU,Economy,846.96,Meal,0,Cancelled,GateKN,D,ClaimHOO,9.56,1,LOCXOF,TypeEHH,Pilot_CJMO,Crew_ELLI,No,Vegan,Available,True,True,False,0,No
10,2176,2023-10-07 21:46:59,2023-10-17 16:27:58,19:40:58,15:59:47,BVMX,Name_OARGG,SeatGKA,Business,538.53,Extra Baggage,0,Cancelled,GateZC,D,ClaimOJB,3.97,0,LOCRSE,TypeYMR,Pilot_UGLQ,Crew_RHHI,No,Non-Vegetarian,Not Available,False,False,False,2,Yes
19,5918,2023-05-04 09:15:06,2023-07-21 08:46:11,05:58:32,06:49:44,BDPY,Name_PKEUN,SeatNOW,Business,875.75,Meal,0,Confirmed,GateFL,A,ClaimGWO,11.75,0,LOCYAN,TypeMZJ,Pilot_USVT,Crew_MVWG,No,No Meal,Available,True,False,False,0,Yes
4,5880,2023-04-22 23:54:20,2023-06-30 14:13:03,01:36:51,13:24:44,BOMJ,Name_WZJEX,SeatDKE,First,176.63,No Extras,0,Pending,GateAS,B,ClaimALV,11.36,2,LOCYSW,TypeLDP,Pilot_YRIU,Crew_TSZA,Yes,Vegan,Available,False,True,False,2,No
19,4220,2023-12-30 21:26:46,2023-07-31 22:48:25,09:34:19,05:33:58,BJED,Name_SRZDW,SeatHXE,First,82.78,Extra Baggage,0,Confirmed,GateFX,D,ClaimRFZ,9.16,0,LOCYQQ,TypeOGF,Pilot_SJXF,Crew_XSBC,No,Vegan,Available,False,True,True,2,No
11,8820,2023-09-01 20:30:39,2023-11-12 03:52:33,10:57:22,13:12:47,BSOI,Name_ISKCK,SeatBFF,First,891.18,No Extras,0,Pending,GateDU,B,ClaimDYI,7.14,2,LOCYOA,TypeXUV,Pilot_YCTV,Crew_VTGI,No,Vegan,Available,True,True,False,2,Yes
2,1130,2023-01-30 20:39:03,2023-12-22 23:57:54,07:25:26,16:40:37,BPDY,Name_GQWRZ,SeatQEN,Economy,161.93,No Extras,0,Pending,GateNU,A,ClaimXWN,11.13,2,LOCKLK,TypeILV,Pilot_EHIB,Crew_KNVO,No,Non-Vegetarian,Not Available,True,True,True,2,No
10,7659,2023-11-27 07:22:56,2023-06-29 07:42:46,17:59:17,11:44:43,BKQU,Name_OQZYQ,SeatDON,Business,222.0,Meal,0,Pending,GateWK,C,ClaimOQX,5.87,2,LOCMXS,TypeGZL,Pilot_MUCB,Crew_RTTT,No,Vegan,Available,False,True,False,0,Yes
11,4562,2023-03-24 16:36:09,2023-11-18 06:24:51,21:12:52,10:36:47,BAIL,Name_XJOWP,SeatLAH,First,165.18,Extra Baggage,0,Cancelled,GateGF,B,ClaimNAB,5.68,0,LOCAAW,TypeMKV,Pilot_IJAG,Crew_CTIR,No,Non-Vegetarian,Available,False,True,False,0,No
16,2499,2023-11-23 10:31:24,2023-11-05 13:40:06,02:44:22,12:00:56,BWLJ,Name_OZIUS,SeatXRZ,Business,212.79,Extra Baggage,4264,Pending,GateVS,B,ClaimGZX,5.15,1,LOCEQA,TypeUDM,Pilot_WMYH,Crew_QVJO,No,No Meal,Available,True,True,True,1,No
19,8430,2023-09-20 23:51:40,2023-03-03 05:05:56,23:12:27,13:39:08,BIUZ,Name_ABFXI,SeatKNY,First,904.14,Meal,705,Confirmed,GateSK,B,ClaimQGF,10.07,1,LOCSHB,TypeOCD,Pilot_MPDH,Crew_WKMH,Yes,Non-Vegetarian,Available,False,False,True,2,No
11,8705,2023-06-10 19:45:07,2023-07-09 12:38:53,09:45:07,14:18:42,BYTP,Name_XRAJD,SeatSSD,Business,855.53,Extra Baggage,0,Confirmed,GateVN,B,ClaimDJI,2.71,1,LOCFAY,TypePIN,Pilot_SHXM,Crew_QOGC,No,Vegan,Not Available,False,True,True,1,No
14,8626,2023-08-27 03:00:35,2023-12-03 13:40:23,04:00:25,09:49:31,BMCR,Name_NUZFT,SeatGRO,Business,302.24,Meal,0,Pending,GateUX,C,ClaimUKG,1.74,2,LOCBWI,TypeYWB,Pilot_ACOG,Crew_LAZW,No,Vegetarian,Not Available,False,False,True,1,No
2,7679,2023-08-01 23:42:33,2023-05-05 05:53:24,09:28:59,01:35:47,BDSY,Name_EOXJC,SeatJPO,Economy,719.4,Meal,0,Pending,GateML,C,ClaimZVI,4.38,1,LOCPFJ,TypeDTA,Pilot_FJPL,Crew_GPDP,Yes,No Meal,Available,True,True,True,0,Yes
5,3788,2023-08-25 18:34:39,2023-08-17 01:21:42,09:17:24,06:39:09,BMML,Name_QIIOR,SeatBID,Business,798.93,No Extras,2145,Confirmed,GateMZ,C,ClaimQAH,11.38,1,LOCMJH,TypeRFH,Pilot_FXKL,Crew_AQIP,No,Non-Vegetarian,Available,False,False,True,1,Yes
5,5876,2023-03-01 02:34:00,2023-12-12 09:53:46,19:36:48,14:00:03,BXAB,Name_CHCSV,SeatGYW,Business,197.14,No Extras,0,Cancelled,GateAX,C,ClaimZRS,6.04,0,LOCTGZ,TypeENI,Pilot_RMOT,Crew_GBCW,No,Vegan,Not Available,False,True,False,2,Yes
19,4708,2023-04-13 12:58:36,2023-02-15 04:22:13,00:04:12,00:49:26,BCVU,Name_MVPGZ,SeatUQL,Business,266.76,No Extras,0,Confirmed,GateLK,C,ClaimDQP,4.38,0,LOCQPG,TypeRAP,Pilot_WSXD,Crew_DUCZ,No,Vegetarian,Not Available,True,False,True,0,No
12,2769,2023-10-11 06:42:29,2023-07-31 05:07:24,02:50:08,12:14:48,BUVM,Name_TEZSB,SeatYHU,First,503.92,No Extras,0,Cancelled,GateSZ,C,ClaimYPY,1.59,0,LOCEUL,TypeIJP,Pilot_PBRL,Crew_YRGZ,No,No Meal,Not Available,False,False,False,2,Yes
18,7731,2023-06-30 02:13:07,2023-06-01 19:37:11,23:22:31,20:18:27,BLPN,Name_CCBPQ,SeatIXD,Business,654.79,Meal,0,Confirmed,GateEP,C,ClaimNYA,8.3,2,LOCKCI,TypeOGV,Pilot_AXLE,Crew_OCMI,No,Vegetarian,Not Available,False,False,True,1,Yes
4,4044,2023-11-25 16:39:11,2023-08-29 01:52:40,15:26:25,05:23:11,BXNQ,Name_PPSQX,SeatBYM,Economy,449.75,No Extras,0,Pending,GateQC,B,ClaimHFY,6.87,2,LOCPRG,TypeTTO,Pilot_HZIJ,Crew_LZLN,Yes,Non-Vegetarian,Not Available,True,False,True,0,Yes
17,1375,2023-01-13 16:43:40,2023-06-05 21:04:47,22:58:00,15:49:25,BEFJ,Name_ELVLZ,SeatYGO,Economy,793.62,No Extras,0,Pending,GateLB,D,ClaimJNY,9.71,0,LOCXGV,TypeSHT,Pilot_LQZW,Crew_NNOJ,Yes,Vegan,Available,False,False,False,1,No
10,7347,2023-07-16 08:32:16,2023-05-30 02:57:58,23:40:06,11:06:14,BVIZ,Name_GGDFP,SeatHDZ,First,990.79,No Extras,0,Pending,GateQT,C,ClaimVOD,5.47,2,LOCJGG,TypeTDX,Pilot_QSJC,Crew_BNIA,Yes,Vegetarian,Not Available,True,False,False,2,Yes
6,4036,2023-06-15 14:37:27,2023-04-23 05:31:11,10:51:09,05:43:01,BGDW,Name_HFWSY,SeatDKQ,Business,871.56,Meal,0,Cancelled,GateZL,A,ClaimIZK,9.17,0,LOCYIC,TypeCVB,Pilot_QHQF,Crew_MNDT,Yes,No Meal,Available,True,True,False,1,Yes
14,9852,2023-12-22 23:48:26,2023-03-15 21:54:21,15:36:58,12:34:32,BGKF,Name_JPBNK,SeatMIJ,Economy,858.99,Extra Baggage,0,Cancelled,GateLL,B,ClaimRAS,2.99,1,LOCUAN,TypeAZQ,Pilot_GTAF,Crew_HEQZ,No,No Meal,Not Available,False,False,True,1,No
11,7218,2023-04-22 11:51:52,2023-04-22 05:44:32,06:26:58,01:07:05,BPPX,Name_XXBYC,SeatIUN,First,241.51,Meal,0,Pending,GateXH,D,ClaimPPG,8.79,2,LOCYSB,TypeQED,Pilot_LTXA,Crew_WJMU,No,No Meal,Available,True,False,True,0,Yes
11,1740,2023-05-02 00:03:16,2023-12-25 12:07:54,09:12:40,10:17:05,BXMZ,Name_ZVKDN,SeatWCH,First,909.23,Meal,0,Cancelled,GateHH,B,ClaimCPL,3.81,2,LOCXYK,TypePXV,Pilot_AEDE,Crew_ZQTJ,No,Vegan,Available,True,False,True,0,Yes
18,9495,2023-01-03 10:45:40,2023-08-06 13:28:55,21:20:19,13:09:50,BLVB,Name_ECZHJ,SeatYLH,Economy,991.42,No Extras,1498,Pending,GateEF,A,ClaimDJS,9.98,1,LOCPBW,TypeQZB,Pilot_DIRP,Crew_QTUO,No,Non-Vegetarian,Available,False,False,False,2,Yes
18,2085,2023-07-30 15:30:33,2023-11-20 20:41:22,12:21:42,19:18:09,BUMA,Name_LZHWG,SeatEFS,Economy,587.51,Meal,0,Cancelled,GateLX,A,ClaimCGC,8.01,2,LOCYMJ,TypeRAO,Pilot_WKGD,Crew_FEOW,No,Non-Vegetarian,Available,True,True,False,2,No
11,2210,2023-05-31 16:46:07,2023-05-09 00:31:44,06:56:46,05:11:18,BJZJ,Name_BZLVT,SeatCNN,First,772.1,No Extras,0,Confirmed,GateTN,C,ClaimYIT,5.94,0,LOCNZF,TypeQBY,Pilot_NFSN,Crew_CXLC,Yes,Vegan,Available,False,False,False,2,Yes
